,designation,company_name,Number_of_Employees,job_description,skills,Years_of_Experience,Category,company_class,Department
62,Senior Software Engineer,Foundation AI,50,Function: Software Engineering → Backend Development,"Python
Flask
FastAPI
Docker
Celery",8,Lead,Class4,Software Engineering
63,C# Fullstack Developer,Money View,500,Function: Software Engineering → Full-Stack Development,"C#
JavaScript
Vue.js
HTML
SQL Server",8,Lead,Class3,Software Engineering
64,Automation Test Engineer,Mphasis,1000,Function: Software Engineering → QA / SDET,"Java
Selenium
Automation Testing",11,Lead,Class1,Software Engineering
65,Senior Node Developer,Recrosoft Technologies,500,Function: Software Engineering → Backend Development,"Node.js
JavaScript
Express.js
MongoDB
AWS",7,Senior,Class3,Software Engineering
66,Data Visualisation (Tableau Developer),Tata Insights and Quants,200,Function: Software Engineering → Big Data / DWH / ETL,"SQL
Hadoop
Tableau
Python
ETL",8,Lead,Class2,Software Engineering
67,Network & Security Administrator,Tech Mahindra,1000,Function: IT Operations and Support → Network Administration,"Network Security
Palo Alto
Cisco ASA
VPN
Wireless",7,Senior,Class1,IT Operations and Support
68,Business Development Representative,Tessell,50,Function: IT Operations and Support → Database Admin / Development,"SQL Server
MySQL
Database Administration
T-SQL
Python",11,Lead,Class4,IT Operations and Support
69,Embedded Engineer - Multimedia,Vayavya Labs,200,Function: Software Engineering → Embedded / Kernel Development,"Embedded Linux
C
C++
Kernel Development
GStreamer",6,Senior,Class2,Software Engineering
70,Full Stack Developer,ANSR,200,Function: Software Engineering → Full-Stack Development,"Java
Spring
Angular
SQL
Test Driven Development",6,Senior,Class2,Software Engineering
71,Quality Engineering,ANSR,200,Function: Software Engineering → QA / SDET,"SDET
Java
Selenium",9,Lead,Class2,Software Engineering
72,SDE - 2,Devtron Labs,50,Function: Software Engineering → Backend Development,"Java
Golang
Microservices
AWS
Spring Boot",5,Senior,Class4,Software Engineering
73,SDE - 3,Devtron Labs,50,Function: Software Engineering → Backend Development,"Java
Golang
Spring Boot
Data Structures
AWS",8,Lead,Class4,Software Engineering
74,Software Quality Engineer III,FedEx,1000,Function: Software Engineering → QA / SDET,"Java
API Testing
Postman
SoapUI
REST Assured",9,Lead,Class1,Software Engineering
75,Lead Frontend Developer,Gameskraft,500,Function: Software Engineering → Frontend Development,"React Native
React.js
JavaScript
Redux
HTML",7,Senior,Class3,Software Engineering
76,ServiceNow Developer,iLink Digital,1000,Function: Software Engineering → Full-Stack Development,"ServiceNow
ITSM
CMDB
Angular
API Testing",9,Lead,Class1,Software Engineering
77,Senior Marketing Consultant,LeanSummits,50,"Function: Marketing → Online Marketing, Project Management, Sales / Business Development","Digital Marketing
Google Analytics
Customer Interaction
SEMrush
Marketing",10,Lead,Class4,Marketing
78,Consultant II - Third Party Assessment (VP),Nab,1000,"Function: Operations → Accounting / Finance, Other Software Development","TPM
Risk Management",15,Lead,Class1,Operations
79,AEM Developer,Verizon Communications,1000,"Function: Software Engineering → Backend Development, Other Software Development","Adobe Experience Manager (AEM)
React.js
Angular
Servlets",9,Lead,Class1,Software Engineering
80,Java Architect,Adda52,500,Function: Software Engineering → Backend Development,"Java
Multithreading
SmartFoxServer
SQL",10,Lead,Class3,Software Engineering
81,Graphic Designer,Emporiom Digital,50,Function: Design and Creative → Graphic Design / Animation,"Photoshop
Illustrator
InDesign
Corel Draw
Graphic Design",7,Senior,Class4,Design and Creative
82,Software Developer 2,FedEx,1000,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Java
Spring Boot
Microservices
Data Structures
Oracle Database",7,Senior,Class1,Software Engineering
83,Director of Engineering,Jumbotail,500,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","Engineering Management
Java
Microservices
Node.js
Python",15,Lead,Class3,Software Engineering
84,Business Development Executive,Kasplo,200,Function: Sales and Business → Sales / Business Development,"Sales
Business Development",2,Fresher,Class2,Sales and Business
85,Java Tech Lead,Mphasis,1000,"Function: Software Engineering → Backend Development, Full-Stack Development, Other Software Development","Java
Spring Boot
Hibernate
jQuery
Angular",9,Lead,Class1,Software Engineering
86,UI Developer,Persistent Systems,1000,Function: Software Engineering → Frontend Development,"Angular
CSS
HTML
JavaScript
React.js",12,Lead,Class1,Software Engineering
87,Client Support Analyst,Preqin,500,"Function: Operations → Accounting / Finance, Operations Management","Data Analysis
Customer Service
Ticketing and Booking
Business Support Systems (BSS)
Finance",5,Senior,Class3,Operations
88,Data Visualisation (Tableau),Tata Insights and Quants,200,Function: IT Operations and Support → Database Admin / Development,"SQL
Java
Database Administration
Tableau
Hadoop",8,Lead,Class2,IT Operations and Support
89,Inside Sales Specialist,The Sleep Company,50,"Function: Marketing → Online Marketing, Sales / Business Development","Sales
Telecalling
Business Development
International Sales
Corporate Sales",6,Senior,Class4,Marketing
90,SAP HCM Consultant,ADP,1000,Function: IT Operations and Support → Functional / Technical Consulting,"SAP HCM - HR
UK Payroll
US Payroll
Payroll Management",8,Lead,Class1,IT Operations and Support
91,Business Development Executive,Aphelia Innovations,50,Function: Sales and Business → Sales / Business Development,"Sales
Corporate Sales
Business Development
IT Consulting
IT Procurement",4,Junior,Class4,Sales and Business
92,IBM APM Expert,CS Soft Solutions,500,Function: Software Engineering → Big Data / DWH / ETL,"JavaScript
SQL
ETL
IBM Cloud
Maximo",10,Lead,Class3,Software Engineering
93,Full Stack Engineer,Meta Z,50,Function: Software Engineering → Full-Stack Development,"Node.js
React.js
three.js
Next.js
NestJS",7,Senior,Class4,Software Engineering
94,AutoCAD 2D Solid Modelling,Spiro Gears,200,"Function: Design and Creative → Other Design, Other Software Development","AutoCAD
Solid Modelling
Mechanical Engineering
AutoCAD Mechanical",2,Fresher,Class2,Design and Creative
95,Software Engineer,StepChange,50,Function: Software Engineering → Backend Development,"Java
Spring Boot
Data Structures",11,Lead,Class4,Software Engineering
96,Inside Sales Specialist,The Sleep Company,50,Function: Sales and Business → Sales / Business Development,"Sales
Telecalling
Business Development
Corporate Sales
International Sales",6,Senior,Class4,Sales and Business
97,SDET,ThoughtSpot,1000,"Function: Software Engineering → Backend Development, Frontend Development, Full-Stack Development","Automation Testing
C++
Golang
Java
JavaScript
Python",7,Senior,Class1,Software Engineering
98,Full Stack Developer,World Compliance Technologies,200,Function: Software Engineering → Full-Stack Development,"Java
JavaScript
Angular
React.js
Data Structures",5,Senior,Class2,Software Engineering
99,Senior Full Stack Developer,World Compliance Technologies,200,Function: Software Engineering → Full-Stack Development,"JavaScript
Java
Angular
React.js
Data Structures",11,Lead,Class2,Software Engineering
100,Lead Android Developer,DAZN,1000,Function: Software Engineering → Mobile Development,"Kotlin
Android
Java",12,Lead,Class1,Software Engineering
101,Full Stack Developer I,FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Angular
Azure",3,Junior,Class1,Software Engineering
102,.NET Developer,IBSFINtech,50,"Function: Software Engineering → Backend Development, Full-Stack Development",".NET
ASP.NET
C#",11,Lead,Class4,Software Engineering
103,Senior Software Engineer,Incedo,1000,Function: Software Engineering → Backend Development,".NET
SQL Server",5,Senior,Class1,Software Engineering
104,Telesales Executive,InterAds Exhibitions,50,"Function: Sales and Business → Customer Service, Sales / Business Development","Customer Service
Sales
Business Development
Direct Sales
Corporate Sales",0,Fresher,Class4,Sales and Business
105,Data Engineer,Liquide,50,Function: Software Engineering → Big Data / DWH / ETL,"Python
PySpark
AWS
ETL
SQL",5,Senior,Class4,Software Engineering
106,Data Enginner,Prophecy,50,Function: Software Engineering → Big Data / DWH / ETL,"Data Warehousing
Big Data
Scala
Airflow
Apache NiFi",12,Lead,Class4,Software Engineering
107,VP Engineer,Proxgy,50,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","ASP.NET
Angular
AWS",15,Lead,Class4,Software Engineering
108,VP Engineer,Proxgy,50,"Function: Software Engineering → Backend Development, Engineering Management, Full-Stack Development","Node.js
Python
JavaScript
Vue.js
MongoDB",15,Lead,Class4,Software Engineering
109,SDET,ThoughtSpot,1000,Function: Software Engineering → QA / SDET,"Java
C++
Selenium
Automation Testing
SDET",8,Lead,Class1,Software Engineering
110,Salesforce Developer,ANSR,200,Function: Software Engineering → Backend Development,"Salesforce
Salesforce Data Loader
Agile
Unit Testing",8,Lead,Class2,Software Engineering
111,Principal FPGA Engineer / Senior Manager,AST SpaceMobile,200,Function: Software Engineering → Other Software Development,"FPGAs
Digital Signal Processing (DSP)
VLSI Design
RTL
Verilog",21,Specialist,Class2,Software Engineering
112,Software QA Engineer - SDET (T500 - 7709),FedEx,1000,Function: Software Engineering → QA / SDET,"Java
API Testing",9,Lead,Class1,Software Engineering
113,Sr. Full Stack Developer,Greyamp Consulting,50,Function: Software Engineering → Full-Stack Development,"MongoDB
React.js
Node.js
SQL
NoSQL",8,Lead,Class4,Software Engineering
114,Human Resource Business Partner,Kasplo,200,Function: Sales and Business → Sales / Business Development,"IT Recruitment
Business Development
Recruitment",6,Senior,Class2,Sales and Business
115,Perimeter Engineer,Maersk,1000,Function: IT Operations and Support → IT Security,"Cisco ASA
Zscaler
Check Point Firewall
Blue Coat",12,Lead,Class1,IT Operations and Support
116,Regional Manager,Suraasa,200,Function: Sales and Business → General Management / Strategy,"Training Management
Operations Management
Corporate Strategy
Learning and Development",10,Lead,Class2,Sales and Business
117,Instrumentation Designer,Taal Tech,1000,"Function: Technical Management → Engineering Management, Operations Management, Other Design","MicroStation
AutoCAD
Instrumentation Design",10,Lead,Class1,Technical Management
118,Senior Software Engineer,upGrad,200,Function: Software Engineering → Frontend Development,"Next.js
React.js
TypeScript
CSS
HTML",6,Senior,Class2,Software Engineering
119,Sr. Business Development Manager,WhatNext IMS,50,Function: Marketing → Event Management,"Event Management
Corporate Events
Digital Marketing
Event Planning
Social Media Marketing",8,Lead,Class4,Marketing
120,Backend Developer (Java Or Python +AWS),Amantya Technologies,500,Function: Software Engineering → Backend Development,"Java
Python
AWS Lambda
AWS
AWS CloudFormation",13,Lead,Class3,Software Engineering
121,DevOps Director,BharatPe,200,"Function: Software Engineering → Backend Development, DevOps / Cloud","Python
DevOps
Golang
CI - CD
Kubernetes",16,Specialist,Class2,Software Engineering
122,Java Developer,Digital Automation Systems,50,"Function: Software Engineering → Backend Development, Full-Stack Development","Spring Boot
Hibernate
J2EE
Java
AWS",5,Senior,Class4,Software Engineering
123,Full Stack Developer III (T500 - 7707),FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Angular",9,Lead,Class1,Software Engineering
124,Full Stack III,FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Angular
Microservices",9,Lead,Class1,Software Engineering
125,Project Manager,Hexaware Technologies,1000,"Function: Operations → Accounting / Finance, Customer Service, Project Management","Project Management
Accounting
KPO
BRS
Record to Report",15,Lead,Class1,Operations
126,Solace Developer,Infosys,1000,Function: Software Engineering → Other Software Development,"CI - CD
SAP ABAP",8,Lead,Class1,Software Engineering
127,Solace Developer,Infosys,1000,Function: Software Engineering → Other Software Development,CI - CD,8,Lead,Class1,Software Engineering
128,Principal Consultant - TM1,kipi.bi,500,Function: Data Science and Analysis → Data Analysis / Business Intelligence,TM1,10,Lead,Class3,Data Science and Analysis
129,Technical Program Manager - Java (T500 - 7687),Lululemon,1000,Function: Technical Management → Product Management,"Java
Microservices",15,Lead,Class1,Technical Management
130,Software Development in Test,7-Eleven,1000,Function: Software Engineering → QA / SDET,"Java
Selenium
API Testing",8,Lead,Class1,Software Engineering
131,Software Development in Test,7-Eleven,1000,Function: Software Engineering → QA / SDET,"C++
Selenium
API Testing",8,Lead,Class1,Software Engineering
132,Software Development in Test,7-Eleven,1000,Function: Software Engineering → QA / SDET,"Python
Selenium
API Testing",8,Lead,Class1,Software Engineering
133,Software Development in Test - CX,7-Eleven,1000,Function: Software Engineering → QA / SDET,"JavaScript
Selenium
API Testing",8,Lead,Class1,Software Engineering
134,Backend Development (Java Or Python + AWS),Amantya Technologies,500,Function: Software Engineering → Backend Development,"Java
Python
AWS
AWS Glue
AWS Lambda",8,Lead,Class3,Software Engineering
135,Software Engineer,Cholamandalam MS General Insurance,1000,Function: Software Engineering → Backend Development,"Java
Spring Boot
Angular
React.js
JavaScript",9,Lead,Class1,Software Engineering
136,Camel Integrators Developer,Mphasis,1000,Function: Software Engineering → Other Software Development,"Camel
Spring
Apache Beam",9,Lead,Class1,Software Engineering
137,Java Tech Lead Engineer,Mphasis,1000,Function: Software Engineering → Full-Stack Development,"Java
Spring Boot
REST Assured
Hibernate",9,Lead,Class1,Software Engineering
138,Senior Software Engineer,upGrad,200,"Function: Software Engineering → Frontend Development, Other Software Development","React.js
Next.js
JavaScript
HTML
CSS",7,Senior,Class2,Software Engineering
139,Software Engineer,Wipro,1000,Function: Software Engineering → Other Software Development,"Angular
Spring Boot
Microservices
MongoDB
Java",10,Lead,Class1,Software Engineering
140,IAM Architect,Aujas,500,"Function: IT Operations and Support → IT Management / IT Support, IT Security","Identity Access Management (IAM)
SSO
SailPoint",15,Lead,Class3,IT Operations and Support
141,Data Engineer,CS Soft Solutions,500,"Function: Software Engineering → Big Data / DWH / ETL, Other Software Development","Snowflake
Matillion
AWS",10,Lead,Class3,Software Engineering
142,SDET - Manager,Elevate K-12,500,Function: Software Engineering → QA / SDET,"SDET
Automation Testing
Selenium
Quality Assurance
Appium",13,Lead,Class3,Software Engineering
143,Firmware Developer,Mirafra Technologies,1000,Function: Software Engineering → Embedded / Kernel Development,"Embedded C
Cortex
RTOS
Embedded Systems",7,Senior,Class1,Software Engineering
144,Data Engineer,SigTech,200,"Function: Software Engineering → Big Data / DWH / ETL, Data Science / Machine Learning","Amazon Athena
Python
SQL
AWS Lambda
Kafka",7,Senior,Class2,Software Engineering
145,Project Manager,Simplotel,50,Function: Technical Management → Project Management,"Project Management
Agile
Scrum
PMO
Operations Management",5,Senior,Class4,Technical Management
146,Senior / Lead Finance and Accounts Analyst,Simplotel,50,Function: Operations → Accounting / Finance,"GST
Income Tax
Accounting
Finance
Auditing",5,Senior,Class4,Operations
147,Android Engineer,Vance,50,Function: Software Engineering → Mobile Development,"Android
Android Jetpack",5,Senior,Class4,Software Engineering
148,iOS Developer,Vance,50,Function: Software Engineering → Mobile Development,"Swift
SwiftUI
iOS
Git
Xcode",4,Junior,Class4,Software Engineering
149,Product Marketing Manager,XFlow,50,Function: Marketing → Brand Management,"Product Marketing
Marketing",9,Lead,Class4,Marketing
150,Solution Engineer,Doceree,50,Function: Software Engineering → Backend Development,"Python
Node.js
AWS
MongoDB
NoSQL",7,Senior,Class4,Software Engineering
151,Software Engineer,Domestika,500,"Function: Software Engineering → Backend Development, Frontend Development","React.js
Next.js
NoSQL
CSS
SQL",5,Senior,Class3,Software Engineering
152,Software Developer I - AEM Developer (T500 - 7632),FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Adobe Experience Manager (AEM)",3,Junior,Class1,Software Engineering
153,Frontend Staff / Lead Engineer,Flipkart,1000,Function: Software Engineering → Frontend Development,"React.js
JavaScript
HTML
CSS",12,Lead,Class1,Software Engineering
154,Big Data Engineer,Google,1000,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL","Hadoop
PySpark
Python
Kafka
JavaScript",10,Lead,Class1,Software Engineering
155,Frontend Developer,Hub,200,Function: Software Engineering → Frontend Development,"JavaScript
React.js
Redux
React Native
Angular",5,Senior,Class2,Software Engineering
156,Principal Architect,PhysicsWallah,1000,Function: Software Engineering → Backend Development,"Java
Python
Node.js
Spring Boot
Golang",13,Lead,Class1,Software Engineering
157,SDE3 (DevOps Engineer),PhysicsWallah,1000,Function: IT Operations and Support → DevOps / Cloud,"Kubernetes
AWS
Terraform",8,Lead,Class1,IT Operations and Support
158,Cloud Security Engineer - DevOps Engineer,Trace One,200,"Function: IT Operations and Support → DevOps / Cloud, IT Security","Information Security
DevOps
PowerShell
AWS
CISSP",10,Lead,Class2,IT Operations and Support
159,User Engineer,XFlow,50,Function: IT Operations and Support → Solution Architecture / Presales,"Presales
Java
Technical Support",7,Senior,Class4,IT Operations and Support
160,HR Recruiter (Insurance),Aasaanjobs,500,Function: Human Resources → Talent Acquisition,"Recruitment
Employee Induction",2,Fresher,Class3,Human Resources
161,Presales Consultant,AppSecure Security,50,Function: Sales and Business → Sales / Business Development,"Presales
Information Security
Corporate Sales
International Sales",10,Lead,Class4,Sales and Business
162,Lead Software Engineer,DAZN,1000,Function: Software Engineering → Full-Stack Development,"React.js
Node.js",9,Lead,Class1,Software Engineering
163,Chartered Accountant,Dibber,1000,Function: Operations → Accounting / Finance,"Accounting
Chartered Accountant
Finance",10,Lead,Class1,Operations
164,Asst Vice President - Business Process Engineering,HDFC ERGO,1000,Function: Technical Management → Project Management,"Business Process Management (BPM)
SOP
Project Management
Process Improvement",12,Lead,Class1,Technical Management
165,VP - Engineer,Proxgy,50,"Function: Technical Management → Engineering Management, Product Management","ASP.NET
AWS
.NET
Angular",15,Lead,Class4,Technical Management
